scenario_name,scenario_category,request_id,security_level,risk_score,conf_score,has_qkd,proposed_algorithms,fallback_algorithms,response_time,feedback_success,feedback_latency,feedback_resource_usage,timestamp
Moderate Security Classical,classical,exp-moderate-classical-005,moderate,0.45,0.5,False,['AES_256_GCM'],[],6.137598037719727,True,67.3367887726579,0.5900334290152769,2025-10-20T17:16:26.798352
Low Security Minimal,classical,exp-low-minimal-006,low,0.15,0.2,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.127835512161255,True,54.377386219135566,0.4127057916737578,2025-10-20T17:16:35.060963
Peak Attack Time with QKD,stress_test,exp-peak-qkd-007,high,0.88,0.85,True,"['ECC_521', 'PQC_KYBER', 'AES_256_GCM']",[],6.142865180969238,True,23.353093552044818,0.762246621928597,2025-10-20T17:16:43.339183
Limited Resources High Security,stress_test,exp-limited-high-008,high,0.75,0.8,False,"['AES_192', 'AES_256_GCM']",[],6.141188144683838,True,38.860051501074835,0.5022841866124039,2025-10-20T17:16:51.623334
High Latency Network,network_conditions,exp-highlatency-009,high,0.65,0.7,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.133564472198486,True,24.285817644197916,0.612366976097743,2025-10-20T17:16:59.903178
Night Weekend High Risk,temporal,exp-night-weekend-010,high,0.7,0.75,True,"['AES_192', 'PQC_KYBER', 'AES_256_GCM']",[],6.145005464553833,True,25.8894697475677,0.5813853849327562,2025-10-20T17:17:08.194860
Ultra Security with QKD,quantum,exp-ultra-qkd-001,ultra,0.95,0.98,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.146623134613037,True,66.27784185767463,0.3894459589851248,2025-10-20T17:17:16.490479
High Security with QKD,quantum,exp-high-qkd-002,high,0.85,0.9,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.132164239883423,True,84.41062797780972,0.4488305077941271,2025-10-20T17:17:24.771540
Very High Security with PQC,post_quantum,exp-veryhigh-pqc-003,very_high,0.82,0.88,False,"['AES_192', 'AES_256_GCM']",[],6.145236968994141,True,58.288646202053975,0.6503586448979259,2025-10-20T17:17:33.063414
High Security Hybrid,hybrid,exp-high-hybrid-004,very_high,0.78,0.82,False,"['HYBRID_ECC_PQC', 'AES_256_GCM']",[],6.145999431610107,True,63.82847691298202,0.44864114989963544,2025-10-20T17:17:41.345779
Moderate Security Classical,classical,exp-moderate-classical-005,moderate,0.45,0.5,False,['AES_256_GCM'],[],6.115659952163696,True,72.27161494864124,0.6461418358402955,2025-10-20T17:17:49.596997
Low Security Minimal,classical,exp-low-minimal-006,low,0.15,0.2,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.141270875930786,True,53.56956520623659,0.6155528968727109,2025-10-20T17:17:57.891027
Peak Attack Time with QKD,stress_test,exp-peak-qkd-007,high,0.88,0.85,True,"['ECC_521', 'PQC_KYBER', 'AES_256_GCM']",[],6.155466318130493,True,25.7825558167752,0.3476055095347688,2025-10-20T17:18:06.184039
Limited Resources High Security,stress_test,exp-limited-high-008,high,0.75,0.8,False,"['AES_192', 'AES_256_GCM']",[],6.141536235809326,True,94.86617591908977,0.7884138239189551,2025-10-20T17:18:14.459765
High Latency Network,network_conditions,exp-highlatency-009,high,0.65,0.7,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.146352529525757,True,38.183653152090564,0.7736068768516384,2025-10-20T17:18:22.751837
Night Weekend High Risk,temporal,exp-night-weekend-010,high,0.7,0.75,True,"['AES_192', 'PQC_KYBER', 'AES_256_GCM']",[],6.132077932357788,True,31.560450744961553,0.521638011505261,2025-10-20T17:18:31.020175
Ultra Security with QKD,quantum,exp-ultra-qkd-001,ultra,0.95,0.98,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.140379190444946,True,34.71669600456404,0.5044665661786224,2025-10-20T17:18:43.420320
High Security with QKD,quantum,exp-high-qkd-002,high,0.85,0.9,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.15168023109436,True,47.89889886283377,0.522835418949706,2025-10-20T17:18:51.720044
Very High Security with PQC,post_quantum,exp-veryhigh-pqc-003,very_high,0.82,0.88,False,"['AES_192', 'AES_256_GCM']",[],6.145273447036743,True,71.27479159111837,0.33426071463442253,2025-10-20T17:19:00.015381
High Security Hybrid,hybrid,exp-high-hybrid-004,very_high,0.78,0.82,False,"['HYBRID_ECC_PQC', 'AES_256_GCM']",[],6.1389687061309814,True,61.91509616855753,0.6197650422240916,2025-10-20T17:19:08.289893
Moderate Security Classical,classical,exp-moderate-classical-005,moderate,0.45,0.5,False,['AES_256_GCM'],[],6.140072584152222,True,89.14836504661712,0.7140312359890912,2025-10-20T17:19:16.563701
Low Security Minimal,classical,exp-low-minimal-006,low,0.15,0.2,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.134099245071411,True,24.841309911039154,0.6478260897886081,2025-10-20T17:19:24.852866
Peak Attack Time with QKD,stress_test,exp-peak-qkd-007,high,0.88,0.85,True,"['ECC_521', 'PQC_KYBER', 'AES_256_GCM']",[],6.149552583694458,True,87.5946263576727,0.600155286766046,2025-10-20T17:19:33.147085
Limited Resources High Security,stress_test,exp-limited-high-008,high,0.75,0.8,False,"['AES_192', 'AES_256_GCM']",[],6.109687805175781,True,34.07670143421673,0.42025988080708065,2025-10-20T17:19:41.403188
High Latency Network,network_conditions,exp-highlatency-009,high,0.65,0.7,False,"['ECC_521', 'AES_256_GCM']",[],6.149532079696655,True,63.655119224233694,0.7889105336057989,2025-10-20T17:19:49.696029
Night Weekend High Risk,temporal,exp-night-weekend-010,high,0.7,0.75,True,"['QKD_DECOY', 'PQC_KYBER', 'AES_256_GCM']",[],6.087117433547974,True,86.58681271731808,0.5549484367366946,2025-10-20T17:19:57.936630
Ultra Security with QKD,quantum,exp-ultra-qkd-001,ultra,0.95,0.98,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.123847961425781,True,28.78535516670088,0.7837892602912706,2025-10-20T17:20:06.210321
High Security with QKD,quantum,exp-high-qkd-002,high,0.85,0.9,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.155512571334839,True,30.865735684481585,0.675361036709924,2025-10-20T17:20:14.511872
Very High Security with PQC,post_quantum,exp-veryhigh-pqc-003,very_high,0.82,0.88,False,"['AES_192', 'AES_256_GCM']",[],6.131845474243164,True,71.64183771584496,0.5250457285074821,2025-10-20T17:20:22.790852
High Security Hybrid,hybrid,exp-high-hybrid-004,very_high,0.78,0.82,False,"['HYBRID_ECC_PQC', 'AES_256_GCM']",[],6.148975610733032,True,53.70499201059705,0.6616351325752701,2025-10-20T17:20:31.085041
Moderate Security Classical,classical,exp-moderate-classical-005,moderate,0.45,0.5,False,['AES_256_GCM'],[],6.147793292999268,True,84.93459325887639,0.331322694171325,2025-10-20T17:20:39.362986
Low Security Minimal,classical,exp-low-minimal-006,low,0.15,0.2,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.114232301712036,True,90.6879805309788,0.7795676324011883,2025-10-20T17:20:47.614193
Peak Attack Time with QKD,stress_test,exp-peak-qkd-007,high,0.88,0.85,True,"['ECC_521', 'PQC_KYBER', 'AES_256_GCM']",[],6.138197422027588,True,23.161195930820938,0.6898731116999037,2025-10-20T17:20:55.897458
Limited Resources High Security,stress_test,exp-limited-high-008,high,0.75,0.8,False,"['AES_192', 'AES_256_GCM']",[],6.142122983932495,True,70.30405005402167,0.4660780062200893,2025-10-20T17:21:04.184802
High Latency Network,network_conditions,exp-highlatency-009,high,0.65,0.7,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.125716209411621,True,50.181504114475935,0.5321459263741264,2025-10-20T17:21:12.455731
Night Weekend High Risk,temporal,exp-night-weekend-010,high,0.7,0.75,True,"['AES_192', 'PQC_KYBER', 'AES_256_GCM']",[],6.161517381668091,True,37.585822706053705,0.444608157390495,2025-10-20T17:21:20.748993
Ultra Security with QKD,quantum,exp-ultra-qkd-001,ultra,0.95,0.98,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.1453468799591064,True,97.21274297121292,0.6624591320121771,2025-10-20T17:21:29.032175
High Security with QKD,quantum,exp-high-qkd-002,high,0.85,0.9,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.14674711227417,True,12.065957502113346,0.48794934981230365,2025-10-20T17:21:37.323711
Very High Security with PQC,post_quantum,exp-veryhigh-pqc-003,very_high,0.82,0.88,False,"['AES_192', 'AES_256_GCM']",[],6.160200119018555,True,79.86877964523975,0.4191884259300057,2025-10-20T17:21:45.620638
High Security Hybrid,hybrid,exp-high-hybrid-004,very_high,0.78,0.82,False,"['HYBRID_ECC_PQC', 'AES_256_GCM']",[],6.170193910598755,True,21.596200509581685,0.7493470675652172,2025-10-20T17:21:53.924866
Moderate Security Classical,classical,exp-moderate-classical-005,moderate,0.45,0.5,False,['AES_256_GCM'],[],6.140351057052612,True,32.066142968665915,0.5127939974424958,2025-10-20T17:22:02.212545
Low Security Minimal,classical,exp-low-minimal-006,low,0.15,0.2,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.145784616470337,True,50.285327033924105,0.40092238123718565,2025-10-20T17:22:10.497708
Peak Attack Time with QKD,stress_test,exp-peak-qkd-007,high,0.88,0.85,True,"['ECC_521', 'PQC_KYBER', 'AES_256_GCM']",[],6.161573886871338,False,273.99927704973163,0.6612279489574833,2025-10-20T17:22:18.794544
Limited Resources High Security,stress_test,exp-limited-high-008,high,0.75,0.8,False,"['AES_192', 'AES_256_GCM']",[],6.104829788208008,True,21.425996526023937,0.34056742346597624,2025-10-20T17:22:27.049413
High Latency Network,network_conditions,exp-highlatency-009,high,0.65,0.7,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.156621217727661,True,52.457369293174075,0.7679302862602295,2025-10-20T17:22:35.357270
Night Weekend High Risk,temporal,exp-night-weekend-010,high,0.7,0.75,True,"['AES_192', 'PQC_KYBER', 'AES_256_GCM']",[],6.105832099914551,True,15.281178900826838,0.3623871032380211,2025-10-20T17:22:43.610965
Ultra Security with QKD,quantum,exp-ultra-qkd-001,ultra,0.95,0.98,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.12128472328186,True,78.02454539903921,0.75240523177536,2025-10-20T17:22:51.882149
High Security with QKD,quantum,exp-high-qkd-002,high,0.85,0.9,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.1342549324035645,True,80.12815969414488,0.790647092755751,2025-10-20T17:23:00.135651
Very High Security with PQC,post_quantum,exp-veryhigh-pqc-003,very_high,0.82,0.88,False,"['AES_192', 'AES_256_GCM']",[],6.137174129486084,True,55.60451221981004,0.5931943533562498,2025-10-20T17:23:08.420121
High Security Hybrid,hybrid,exp-high-hybrid-004,very_high,0.78,0.82,False,"['HYBRID_ECC_PQC', 'AES_256_GCM']",[],6.145126819610596,True,68.97280166747147,0.729841432852889,2025-10-20T17:23:16.709816
Moderate Security Classical,classical,exp-moderate-classical-005,moderate,0.45,0.5,False,['AES_256_GCM'],[],6.133664131164551,True,70.10714849657182,0.6286552357074983,2025-10-20T17:23:24.995221
Low Security Minimal,classical,exp-low-minimal-006,low,0.15,0.2,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.159916400909424,True,69.95934508811514,0.7693533105067635,2025-10-20T17:23:33.286463
Peak Attack Time with QKD,stress_test,exp-peak-qkd-007,high,0.88,0.85,True,"['ECC_521', 'PQC_KYBER', 'AES_256_GCM']",[],6.13658881187439,True,72.07432878794995,0.3353378135772711,2025-10-20T17:23:41.567654
Limited Resources High Security,stress_test,exp-limited-high-008,high,0.75,0.8,False,"['AES_192', 'AES_256_GCM']",[],6.127323627471924,True,64.19977567083492,0.4970513463012756,2025-10-20T17:23:49.843980
High Latency Network,network_conditions,exp-highlatency-009,high,0.65,0.7,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.132282972335815,True,31.72702766049259,0.6930010177505836,2025-10-20T17:23:58.121785
Night Weekend High Risk,temporal,exp-night-weekend-010,high,0.7,0.75,True,"['AES_192', 'PQC_KYBER', 'AES_256_GCM']",[],6.13513970375061,True,78.44528426511869,0.6357528247469288,2025-10-20T17:24:06.404423
Ultra Security with QKD,quantum,exp-ultra-qkd-001,ultra,0.95,0.98,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.127455949783325,True,63.59611879589461,0.6535474728284786,2025-10-20T17:24:14.669963
High Security with QKD,quantum,exp-high-qkd-002,high,0.85,0.9,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.102662563323975,True,40.584864599203684,0.6911646288663931,2025-10-20T17:24:22.924542
Very High Security with PQC,post_quantum,exp-veryhigh-pqc-003,very_high,0.82,0.88,False,"['AES_192', 'AES_256_GCM']",[],6.165692329406738,True,17.44183830339152,0.6009739330345818,2025-10-20T17:24:31.236768
High Security Hybrid,hybrid,exp-high-hybrid-004,very_high,0.78,0.82,False,"['HYBRID_ECC_PQC', 'AES_256_GCM']",[],6.1372597217559814,True,26.349744770261243,0.3954732862520983,2025-10-20T17:24:39.506921
Moderate Security Classical,classical,exp-moderate-classical-005,moderate,0.45,0.5,False,['AES_256_GCM'],[],6.154329061508179,False,108.17216941078276,0.5088593100777496,2025-10-20T17:24:47.807848
Low Security Minimal,classical,exp-low-minimal-006,low,0.15,0.2,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.127140998840332,True,58.16274674027916,0.5139032120937983,2025-10-20T17:24:56.080599
Peak Attack Time with QKD,stress_test,exp-peak-qkd-007,high,0.88,0.85,True,"['ECC_521', 'PQC_KYBER', 'AES_256_GCM']",[],6.133547067642212,True,73.91918128170911,0.3440454725186149,2025-10-20T17:25:04.339696
Limited Resources High Security,stress_test,exp-limited-high-008,high,0.75,0.8,False,"['AES_192', 'AES_256_GCM']",[],6.144620180130005,True,69.40563630658191,0.7807027652298206,2025-10-20T17:25:12.640060
