scenario_name,scenario_category,expected_algorithm,request_id,security_level,risk_score,conf_score,has_qkd,proposed_algorithms,fallback_algorithms,response_time,feedback_success,feedback_latency,feedback_resource_usage,timestamp
HYBRID QKD+PQC - Ultra Security,hybrid_qkd_pqc,HYBRID_QKD_PQC,hybrid-qkd-pqc-012,ultra,0.97,0.99,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.083307504653931,False,121.0,1.0,2025-10-25T08:44:07.901615
ECC 521 - High Security,classical_ecc,ECC_521,ecc-521-016,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.106778860092163,False,46.58,0.63,2025-10-25T08:44:16.183266
PQC SPHINCS+ - Very High Security,pqc_sphincs,PQC_SPHINCS,pqc-sphincs-011,very_high,0.89,0.92,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.121586084365845,False,103.73,0.93,2025-10-25T08:44:24.496563
FALLBACK AES - Low Resources,fallback,FALLBACK_AES,fallback-aes-020,moderate,0.6,0.65,False,"['AES_192', 'AES_256_GCM']",[],6.10680890083313,False,51.76,0.47,2025-10-25T08:44:32.787526
ChaCha20-Poly1305 - Moderate,classical_chacha,CHACHA20_POLY1305,chacha20-019,moderate,0.52,0.57,False,['AES_256_GCM'],[],6.111001968383789,False,41.11,0.5,2025-10-25T08:44:41.091756
PQC FALCON - Ultra Security,pqc_falcon,PQC_FALCON,pqc-falcon-010,ultra,0.94,0.97,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.135591983795166,False,88.76,0.93,2025-10-25T08:44:49.412188
QKD DECOY - Very High Security,quantum_decoy,QKD_DECOY,qkd-decoy-005,very_high,0.91,0.94,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.112732172012329,True,163.68,1.0,2025-10-25T08:44:57.733827
PQC SABER - High Security,pqc_saber,PQC_SABER,pqc-saber-009,high,0.8,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.090360641479492,False,52.5,0.92,2025-10-25T08:45:06.025178
HYBRID RSA+PQC - Very High,hybrid_rsa,HYBRID_RSA_PQC,hybrid-rsa-013,very_high,0.82,0.85,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.122969150543213,True,80.01,0.89,2025-10-25T08:45:14.827338
QKD CV-QKD - High Security,quantum_cv,QKD_CV-QKD,qkd-cv-003,high,0.85,0.88,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.124732971191406,True,111.38,1.0,2025-10-25T08:45:23.140188
ChaCha20-Poly1305 - Moderate,classical_chacha,CHACHA20_POLY1305,chacha20-019,moderate,0.52,0.57,False,['AES_256_GCM'],[],6.097455263137817,False,76.43,0.48,2025-10-25T08:45:31.414588
PQC FALCON - Ultra Security,pqc_falcon,PQC_FALCON,pqc-falcon-010,ultra,0.94,0.97,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.105236768722534,True,101.28,0.88,2025-10-25T08:45:39.682874
ECC 521 - High Security,classical_ecc,ECC_521,ecc-521-016,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.120083332061768,False,41.44,0.57,2025-10-25T08:45:48.000699
AES 256 GCM - Moderate Security,classical_aes256,AES_256_GCM,aes-256-017,moderate,0.55,0.6,False,['AES_256_GCM'],[],6.103769540786743,True,19.77,0.31,2025-10-25T08:45:56.286738
PQC DILITHIUM - Very High Security,pqc_dilithium,PQC_DILITHIUM,pqc-dilithium-007,very_high,0.88,0.91,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.113086938858032,True,75.74,0.88,2025-10-25T08:46:04.572941
QKD E91 - Very High Security,quantum_e91,QKD_E91,qkd-e91-002,very_high,0.9,0.93,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.117787599563599,True,126.28,1.0,2025-10-25T08:46:12.880606
PQC SPHINCS+ - Very High Security,pqc_sphincs,PQC_SPHINCS,pqc-sphincs-011,very_high,0.89,0.92,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.08171272277832,False,59.83,0.88,2025-10-25T08:46:21.154170
PQC KYBER - Ultra Security,pqc_kyber,PQC_KYBER,pqc-kyber-006,ultra,0.93,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1138927936553955,True,25.86,0.55,2025-10-25T08:46:29.459908
AES 192 - Moderate Security,classical_aes192,AES_192,aes-192-018,moderate,0.5,0.55,False,['AES_256_GCM'],[],6.120964765548706,False,35.28,0.48,2025-10-25T08:46:37.741105
RSA 4096 - High Security,classical_rsa,RSA_4096,rsa-4096-015,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.113893508911133,False,57.99,0.7,2025-10-25T08:46:46.047355
HYBRID ECC+PQC - High,hybrid_ecc,HYBRID_ECC_PQC,hybrid-ecc-014,high,0.75,0.79,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1283509731292725,False,74.27,0.9,2025-10-25T08:46:54.344688
PQC NTRU - Very High Security,pqc_ntru,PQC_NTRU,pqc-ntru-008,very_high,0.86,0.89,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.112663745880127,False,60.05,0.88,2025-10-25T08:47:02.641500
HYBRID QKD+PQC - Ultra Security,hybrid_qkd_pqc,HYBRID_QKD_PQC,hybrid-qkd-pqc-012,ultra,0.97,0.99,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.103391170501709,True,87.63,1.0,2025-10-25T08:47:10.918665
QKD BB84 - Ultra Security,quantum_bb84,QKD_BB84,qkd-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.064220905303955,True,43.79,0.76,2025-10-25T08:47:19.153057
FALLBACK AES - Low Resources,fallback,FALLBACK_AES,fallback-aes-020,moderate,0.6,0.65,False,"['AES_192', 'AES_256_GCM']",[],6.1255269050598145,False,62.84,0.42,2025-10-25T08:47:27.472413
QKD MDI-QKD - High Security,quantum_mdi,QKD_MDI-QKD,qkd-mdi-004,high,0.83,0.86,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.119247674942017,False,78.66,1.0,2025-10-25T08:47:35.780338
PQC SABER - High Security,pqc_saber,PQC_SABER,pqc-saber-009,high,0.8,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.151801347732544,True,89.55,0.9,2025-10-25T08:47:44.141776
QKD DECOY - Very High Security,quantum_decoy,QKD_DECOY,qkd-decoy-005,very_high,0.91,0.94,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.070756673812866,True,145.54,1.0,2025-10-25T08:47:52.412198
PQC FALCON - Ultra Security,pqc_falcon,PQC_FALCON,pqc-falcon-010,ultra,0.94,0.97,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.112639427185059,True,94.14,0.89,2025-10-25T08:48:01.203354
